[10:16:40] [INFO] received Windows console close event; shutting log-core down
[10:30:39] [INFO] received Windows console close event; shutting log-core down
[08:55:00] [INFO] received Windows console close event; shutting log-core down
[01:40:35] [INFO] received Windows console close event; shutting log-core down
[01:57:11] [INFO] received Windows console close event; shutting log-core down
[02:02:43] [INFO] received Windows console close event; shutting log-core down
[05:05:07] [INFO] received Windows console close event; shutting log-core down
[06:20:49] [INFO] received Windows console close event; shutting log-core down
[06:25:28] [INFO] received Windows console close event; shutting log-core down
[12:02:17] [INFO] received Windows console close event; shutting log-core down
[23:25:54] [INFO] received Windows console close event; shutting log-core down
[09:33:15] [INFO] received Windows console close event; shutting log-core down
[07:08:55] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07:12:12] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
